date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:41:24	7536/7536	---M--	200	added ('OK')	application/font-woff	etag:%221d70-5f17717e-6de8aead87307a44;;;%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/revicons/revicons.woff?5510888	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/revicons/revicons90c6.woff	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css)
13:41:25	11968/11968	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%222ec0-5f17717e-be20c14acfdf689a;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/revicons/revicons.ttf?5510888	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/revicons/revicons90c6.ttf	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css)
13:41:26	13532/13532	---M-Z	200	added ('OK')	image/svg+xml	etag:%2234dc-5f17717e-93301121aab09cef;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/revicons/revicons.svg?5510888	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/revicons/revicons90c6.svg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css)
13:41:31	33344/33344	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:31%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/openhand.cur	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/openhand.cur	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css)
13:41:32	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:31%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/closedhand.cur	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/closedhand.cur	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css)
13:41:33	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:32%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/assets/gridtile.png	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/assets/gridtile.png	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css)
13:41:33	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:33%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/assets/gridtile_white.png	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/assets/gridtile_white.png	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css)
13:41:34	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:34%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/assets/gridtile_3x3.png	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/assets/gridtile_3x3.png	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css)
13:41:35	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:35%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/assets/gridtile_3x3_white.png	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/assets/gridtile_3x3_white.png	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css)
13:41:36	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:36%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/assets/coloredbg.png	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/assets/coloredbg.png	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css)
